time,deviceName,location,object_hAcc,object_sat
2023-01-07 18:49:11.928579788+00:00,A0013,43.2512208::-7.3383546,7,7
2023-01-07 22:23:42.748002825+00:00,A0013,43.2514356::-7.338516,23,4
2023-01-07 22:52:44.073591350+00:00,A0013,43.2511092::-7.3386024,21,5
2023-01-07 23:56:22.514974240+00:00,A0013,43.2511717::-7.3386732,4,7
2023-01-08 08:27:14.578612187+00:00,A0013,43.2512856::-7.3385677,5,6
2023-01-08 08:42:50.496845776+00:00,A0013,43.2514116::-7.3388846,2,8
2023-01-08 08:57:43.594673009+00:00,A0013,43.2515224::-7.3388455,5,8
2023-01-08 09:13:06.474561209+00:00,A0013,43.2514367::-7.338927,4,9
2023-01-08 09:28:15.353236196+00:00,A0013,43.2514316::-7.3389501,9,8
2023-01-08 09:43:35.377483600+00:00,A0013,43.2515126::-7.3393124,8,8
2023-01-08 09:58:54.335624041+00:00,A0013,43.2514396::-7.3391099,10,8
2023-01-08 10:14:22.838366872+00:00,A0013,43.2515722::-7.3388711,10,8
2023-01-08 10:29:53.333307562+00:00,A0013,43.2514898::-7.3392935,9,8
2023-01-08 11:03:35.793010963+00:00,A0013,43.2516779::-7.3394755,4,10
2023-01-08 11:18:43.632029311+00:00,A0013,43.2518685::-7.3392967,9,10
2023-01-08 11:34:01.424087722+00:00,A0013,43.2518685::-7.33932,8,8
2023-01-08 11:49:23.316436385+00:00,A0013,43.2519064::-7.3392201,11,8
2023-01-08 12:05:06.365688405+00:00,A0013,43.2516209::-7.3393327,6,8
2023-01-08 12:20:35.760557481+00:00,A0013,43.2515367::-7.3392973,7,8
2023-01-08 12:35:47.486317179+00:00,A0013,43.2515143::-7.3390576,12,8
2023-01-08 15:21:00.873009543+00:00,A0013,43.251449::-7.3389994,11,7
2023-01-08 15:36:35.576826854+00:00,A0013,43.2515013::-7.3392698,4,8
2023-01-08 15:51:45.619096913+00:00,A0013,43.2515562::-7.3395159,12,8
2023-01-08 18:18:54.610840099+00:00,A0013,43.2512152::-7.3382863,20,7
2023-01-08 20:14:06.365032633+00:00,A0013,43.251399::-7.33887,73,5
